,Jurisdiction,A.O. Number,Judge,Attorney General or Designee,Offense,Type,Location,Application Date,Original Order (Days),Number of Extensions,Total Length (Days),Installation,Number of Days in Operation,Avg. Intercepts Per Day,Number of Persons Intercepts,Number of Intercepts,Number of Incriminating Intercepts,Total Cost($),Other Than Manpower Cost ($),Arrests,Trials,Motions Granted,Motions Denied,Motions Pending,Persons Convicted,Cost Related ,Results Related ,Intercept%,counts,geocode,lat,lng,freq
1845,OHIO SOUTHERN,2017-77771,BLACK,HULSER,CORRUPTION,WC,N,2017-08-28,30,3,120,INSTALLED AND USED,114,13,72,1458,0,136208,1732,0,0,0,0,0,0,,,0.0,,"{'lat': 38.5249001, 'lng': -82.66615929999999}",38.524900099999996,-82.66615929999998,6
1851,OKLAHOMA EASTERN,2017-71936,WHITE,DAVID RYBICKI,CONSPIRACY,"TX,WC",D,2017-11-22,30,1,60,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 34.9134996, 'lng': -95.3277088}",34.9134996,-95.3277088,4
1855,OKLAHOMA NORTHERN,2018-71870,DOWDELL,HULSER,CONSPIRACY,WC,D,2018-04-25,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 36.678352, 'lng': -97.296821}",36.678352000000004,-97.296821,5
1860,OKLAHOMA WESTERN,2018-69142,MILES-LAGRANGE,HULSER,CONSPIRACY,"TX,WC",D,2018-03-06,30,0,30,NO PROSECUTOR REPORT,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,"{'lat': 34.6689634, 'lng': -99.33598699999999}",34.668963399999996,-99.335987,30
1890,OREGON,2015-75312,SIMON,SUH,NARCOTICS,WC,D,2015-07-30,30,2,90,INSTALLED AND USED,89,0,0,0,0,71599,2850,2,0,0,0,0,0,,,,,"{'lat': 43.8041334, 'lng': -120.5542012}",43.8041334,-120.55420120000001,33
1923,PENNSYLVANIA EASTERN,2012-75339,GOLDBERG,HULSER,NARCOTICS,WC,D,2012-11-20,30,0,30,INSTALLED AND USED,6,0,0,0,0,3645,625,0,0,0,0,0,0,,,,,"{'lat': 39.9222777, 'lng': -75.1553899}",39.9222777,-75.1553899,18
1941,PENNSYLVANIA MIDDLE,2013-75213,CONNER,BLANCO,NARCOTICS,WC,D,2013-11-07,30,0,30,INSTALLED AND USED,30,60,34,1808,497,40195,643,0,0,0,0,0,0,,,27.49,,"{'lat': 40.261594, 'lng': -76.8826766}",40.261594,-76.8826766,12
1953,PENNSYLVANIA WESTERN,2013-75215,MCVERRY,O'BRIEN,NARCOTICS,WC,D,2013-09-25,30,1,60,INSTALLED AND USED,60,0,0,0,0,80895,6375,0,0,0,0,0,0,,,,,"{'lat': 40.4498367, 'lng': -79.9530876}",40.449836700000006,-79.95308759999999,21
1974,PUERTO RICO,2016-75240,GARCIA-GREGORY,O'BRIEN,NARCOTICS,WC,D,2016-09-22,30,0,30,INSTALLED AND USED,30,0,0,0,0,26490,625,0,0,0,0,0,0,,,,,"{'lat': 18.220833, 'lng': -66.590149}",18.220833,-66.590149,13
1987,RHODE ISLAND,2017-75244,SMITH,DOWNING,NARCOTICS,WC,D,2017-09-15,30,0,30,INSTALLED AND USED,20,0,1,1,1,8994,1700,0,0,0,0,0,0,,,100.0,,"{'lat': 41.5800945, 'lng': -71.4774291}",41.5800945,-71.4774291,5
