"Standard Report - Exports"
"Current date: 07/13/2019 5:29 PM (Eastern Daylight Time)"
"Measures: Value ($US)"
"Commodity","Country","Time","District","Value ($US)",
"3915 Waste, Parings And Scrap, Of Plastics","Africa","April 2019","Houston-Galveston, TX","135,000"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","April 2019","Los Angeles, CA","6,200"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","April 2019","New York City, NY","541,992"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","April 2019","Norfolk, VA","155,269"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","April 2019","Savannah, GA","75,292"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","May 2019","All Districts","759,074"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","May 2019","Houston-Galveston, TX","165,815"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","May 2019","New York City, NY","282,806"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","May 2019","Norfolk, VA","162,347"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","May 2019","Savannah, GA","16,110"
"3915 Waste, Parings And Scrap, Of Plastics","Africa","May 2019","Seattle, WA","13,056"
"3915 Waste, Parings And Scrap, Of Plastics","Egypt","2019 through May","All Districts","109,870"
"3915 Waste, Parings And Scrap, Of Plastics","Egypt","2019 through May","Houston-Galveston, TX","89,870"
"3915 Waste, Parings And Scrap, Of Plastics","Egypt","2019 through May","New York City, NY","20,000"
"3915 Waste, Parings And Scrap, Of Plastics","Egypt","March 2019","All Districts","20,000"
"3915 Waste, Parings And Scrap, Of Plastics","Egypt","March 2019","New York City, NY","20,000"
"3915 Waste, Parings And Scrap, Of Plastics","Egypt","May 2019","All Districts","89,870"
"3915 Waste, Parings And Scrap, Of Plastics","Egypt","May 2019","Houston-Galveston, TX","89,870"
"3915 Waste, Parings And Scrap, Of Plastics","Ethiopia","2019 through May","All Districts","7,060"
"3915 Waste, Parings And Scrap, Of Plastics","Ethiopia","2019 through May","Savannah, GA","7,060"
"3915 Waste, Parings And Scrap, Of Plastics","Ethiopia","March 2019","All Districts","7,060"
"3915 Waste, Parings And Scrap, Of Plastics","Ethiopia","March 2019","Savannah, GA","7,060"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","2019 through May","All Districts","165,898"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","2019 through May","New York City, NY","135,692"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","2019 through May","Savannah, GA","30,206"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","January 2019","All Districts","14,582"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","January 2019","New York City, NY","14,582"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","February 2019","All Districts","12,766"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","February 2019","New York City, NY","12,766"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","March 2019","All Districts","67,357"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","March 2019","New York City, NY","60,717"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","March 2019","Savannah, GA","6,640"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","April 2019","All Districts","55,559"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","April 2019","New York City, NY","31,993"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","April 2019","Savannah, GA","23,566"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","May 2019","All Districts","15,634"
"3915 Waste, Parings And Scrap, Of Plastics","Ghana","May 2019","New York City, NY","15,634"
"3915 Waste, Parings And Scrap, Of Plastics","Kenya","2019 through May","All Districts","10,560"
